流浪啊流浪{5天}{触发事件“曾经的约定”。}{人类复权运动失败之后，我们看似四散而逃，实则在为人类保留火种……},,,,,,,,,,,,,,,,,,,,,
,再次联络{5天}{获得科技：147季无线电。触发事件“再看幻想乡”。}{不管我们怎么认为，人类的确失败了，但至少现在我们不需要再次白手起家},,,,,,,,,,,,,,,,,,,,
,,在我们的兄弟当中{5天}{获得2个编制为人类流亡编制的部队，1800单位的竹林流亡者产步枪，1800单位的草原流亡者产步枪，216单位的竹林流亡者产迫击炮，216单位的草原流亡者产迫击炮，600单位的竹林流亡者产近战武器，600单位的草原流亡者产近战武器添加进国家储备。触发事件“流亡者归来”。获得志愿军，其效果为（志愿军部队数上限：+6，派遣志愿军需要的部队数量：-100%）}{很巧的是，我们都选择了互帮互助，虽然这批援助不知道是否来自哪个土作坊},,,,,,,,,,,,,,,,,,,
,,,慷慨解囊{5天}{获得2个地图外民用工厂}{我们谁也不会说出去这是慷慧音政府之慨的},,,,,,,,,,,,,,,,,,
,,,,私通财阀{55天}{获得人类财阀投资，其效果为（生活消费品工厂：-5%）}{我们是在其他流亡者中离人类村落最近的，原因就是我们知道本居小铃隐藏的想法，她一定会帮助我们},,,,,,,,,,,,,,,,,
,,,,,科教兴国{55天}{增加2个科研槽}{前人类村落的技术当然是我们的筹码，而且我们可以决定将他赠与谁},,,,,,,,,,,,,,,,
,,,,,,蒙蔽天狗{55天}{（天狗共和国）移除被转移的人类科学家，获得向往天狗（与竹林流亡者的关系+80），（竹林流亡者）获得暗怀杀机（与天狗共和国的关系-80），获得家国，其效果为（数学类研究速度：+4%）}{我们怎么可能忘记天狗对我们的伤害呢，但远交近攻对我们并没有害处，尤其是对某些还有人类认同的科学家而言},,,,,,,,,,,,,,,
,,,,,,,软化付丧神{55天}{（九十九工业）移除成妖的道具们，获得起源呼唤（与竹林流亡者的关系+80），（竹林流亡者）获得隐忍背叛（与九十九工业的关系-80），获得故土，其效果为（迫击炮：对人员杀伤：+10%，步枪：对人员杀伤：+5%，对装甲杀伤：+5%，生产效率上限：+10%）}{付丧神的背叛如芒在背，但我们如果使用怀柔政策，还能得到少部分付丧神的支持}（注：如果多多良小伞不是九十九工业的领导人，那么多多良小伞会成为将领）,,,,,,,,,,,,,,
,,,,,,,,鸷鸟卑飞{55天}{开启决议对周边国家进行边境冲突}{鸷鸟将击，卑飞敛翼；猛兽将搏，弭耳俯伏},,,,,,,,,,,,,
,,,,,,,,,待敌可胜{55天}{获得庙算，其效果为（补给消耗：-20%，工厂产出：+20%，堑壕上限：+10）}{昔之善战者，先为不可胜，以待敌之可胜},,,,,,,,,,,,
,,,,,,,,,,奇正相生{55天}{庙算追击效果：部队速度：-5%，加密：-5，堑壕速度：+20%，部队攻击：+20%}{故善动敌者，形之，敌必从之；予之，敌必取之。以利动之，以卒待之},,,,,,,,,,,
